,degree_term,degree_steiner,degree_combined,median_term,median_steiner,median_combine,num_terminal,num_steiner,num_combined,degree_steiner_term_diff,coherency
forest\w_1.25_b_0.5_g_1000,82.33041575492341,128.44736842105263,93.84072249589491,29.0,76.0,42.0,457.0,152.0,300.0,-46.11695266612922,3.0065789473684212
forest\w_0.5_b_1_g_1000,63.6838905775076,116.48826291079813,76.59701492537313,21.0,76.0,33.0,658.0,213.0,300.0,-52.80437233329053,3.0892018779342725
forest\w_0.5_b_1.5_g_1000,62.8188622754491,117.57870370370371,76.19909502262443,20.0,76.5,32.0,668.0,216.0,300.0,-54.75984142825461,3.0925925925925926
forest\w_0.5_b_2_g_1000,62.8188622754491,117.57870370370371,76.19909502262443,20.0,76.5,32.0,668.0,216.0,300.0,-54.75984142825461,3.0925925925925926
forest\w_1_b_0.75_g_1000,68.83112582781457,128.99024390243903,84.07540173053152,24.0,75.0,37.0,604.0,205.0,300.0,-60.15911807462446,2.946341463414634
forest\w_1.25_b_0.75_g_1000,68.83112582781457,128.99024390243903,84.07540173053152,24.0,75.0,37.0,604.0,205.0,300.0,-60.15911807462446,2.946341463414634
forest\w_1.5_b_0.75_g_1000,68.83112582781457,128.99024390243903,84.07540173053152,24.0,75.0,37.0,604.0,205.0,300.0,-60.15911807462446,2.946341463414634
forest\w_0.75_b_0.75_g_1000,68.83112582781457,128.99024390243903,84.07540173053152,24.0,75.0,37.0,604.0,205.0,300.0,-60.15911807462446,2.946341463414634
forest\w_1.25_b_0.75_g_2500,70.85445205479452,131.22598870056498,84.89618922470433,24.5,70.0,34.0,584.0,177.0,300.0,-60.37153664577046,3.2994350282485874
forest\w_1.5_b_0.75_g_2500,70.85445205479452,131.22598870056498,84.89618922470433,24.5,70.0,34.0,584.0,177.0,300.0,-60.37153664577046,3.2994350282485874
forest\w_1_b_0.75_g_2500,70.85445205479452,131.22598870056498,84.89618922470433,24.5,70.0,34.0,584.0,177.0,300.0,-60.37153664577046,3.2994350282485874
forest\w_0.75_b_0.75_g_2500,70.73504273504274,131.22598870056498,84.78608923884515,24.0,70.0,34.0,585.0,177.0,300.0,-60.49094596552224,3.305084745762712
forest\w_1.5_b_1_g_2500,65.25273010920436,131.16216216216216,82.20741599073001,22.0,70.0,32.0,641.0,222.0,300.0,-65.9094320529578,2.8873873873873874
forest\w_1.25_b_1_g_2500,65.25273010920436,131.16216216216216,82.20741599073001,22.0,70.0,32.0,641.0,222.0,300.0,-65.9094320529578,2.8873873873873874
forest\w_1_b_1_g_2500,65.25273010920436,131.16216216216216,82.20741599073001,22.0,70.0,32.0,641.0,222.0,300.0,-65.9094320529578,2.8873873873873874
forest\w_0.75_b_1_g_2500,65.15264797507788,131.16216216216216,82.11342592592592,22.0,70.0,32.0,642.0,222.0,300.0,-66.00951418708428,2.891891891891892
forest\w_1.25_b_1_g_1000,64.26687116564418,133.5084745762712,82.66891891891892,22.0,76.0,34.0,652.0,236.0,300.0,-69.24160341062702,2.76271186440678
forest\w_1.5_b_1_g_1000,64.26687116564418,133.5084745762712,82.66891891891892,22.0,76.0,34.0,652.0,236.0,300.0,-69.24160341062702,2.76271186440678
forest\w_0.75_b_1_g_1000,64.26687116564418,133.5084745762712,82.66891891891892,22.0,76.0,34.0,652.0,236.0,300.0,-69.24160341062702,2.76271186440678
forest\w_1_b_1_g_1000,64.26687116564418,133.5084745762712,82.66891891891892,22.0,76.0,34.0,652.0,236.0,300.0,-69.24160341062702,2.76271186440678
forest\w_1.25_b_2_g_1000,62.8188622754491,132.890243902439,81.67833698030634,20.0,75.5,33.0,668.0,246.0,300.0,-70.0713816269899,2.7154471544715446
