	prize	Base_Mean	log2FC	StdErr	Wald_Stats	P_value	P_adj
TP53INP1	1.4643827837176135	2378.10122814793	-1.62020415192533	0.0622481484161224	26.028150124151896	2.3784255313949096e-149	3.6452022379888086e-147
HIST1H1B	1.4585935950224052	428.034078384598	-3.96768523742455	0.152740057216651	25.976716977371897	9.077491736950606e-149	1.3824215580664895e-146
CFAP54	1.4576250099758894	2386.36231996926	1.6455784016863102	0.0633697140604702	-25.967900062102604	1.1417326068094696e-148	1.7278220116383295e-146
FAM107B	1.4538778808660715	4966.88560401354	-1.1867309601399498	0.0457588448795399	25.934460611145703	2.7227023963630394e-148	4.094604066330468e-146
POLR3G	1.4490443304644638	1003.4729698189301	-2.2407720496007903	0.0865452531627733	25.8913339289259	8.337984954509108e-148	1.2461403352509194e-145
TLL1	1.4454958823094308	1597.97237716401	-1.76630756695208	0.0683038383772196	25.8595652735846	1.8993065289129095e-147	2.8210564011544796e-145
CFH	1.4266017614435489	3263.9999096290803	1.53512507383647	0.0597539019167467	-25.6907921423326	1.4814252326885296e-145	2.186874475395789e-143
CCDC80	1.4164098605030426	1601.25420753185	1.77600856313945	0.0693775498222598	-25.5991825553	1.5578515663100094e-144	2.2856722188141196e-142
SGPL1	1.4132620788056258	829.4992233111091	-2.6125371077896897	0.10216933011217899	25.570659070791503	3.2355218810276596e-144	4.718371363714389e-142
GFM1	1.411708626554239	2253.0053984052697	-1.4970402014091202	0.0585777792156585	25.556451976399803	4.6549359554969793e-144	6.747413792841468e-142
TFRC	1.410671918679577	2451.4933532569503	-1.6235942634103502	0.0635535014746991	25.5468892466406	5.945561568230848e-144	8.566592961363508e-142
SCN9A	1.409211545642611	720.9617004457651	2.63527833304477	0.10320862049651301	-25.5335098983695	8.371880006584056e-144	1.1990724804668195e-141
BANF1	1.406505590248851	549.145322986686	-2.92708357120934	0.114747536317745	25.508901237792102	1.5703481863210195e-143	2.2358413052814392e-141
IFIT3	1.4012739536748526	2387.55572603958	-1.76475265939459	0.0693107008790516	25.461474736406398	5.268922752409249e-143	7.457695251086548e-141
ZNF521	1.3967653728656173	4493.52970735428	1.2356014539173301	0.0486064939368833	-25.4205015387819	1.4966736110867394e-142	2.1060210777759696e-140
CBX5	1.3951610502367213	4367.7333227347	1.5089360716295799	0.0593934662238437	-25.405758706566502	2.1781696418014992e-142	3.047158018664399e-140
MAP4K2	1.3838611095996438	3239.11756890778	1.2620210338231599	0.0498762064042022	-25.303067831494698	2.9553125679814894e-141	4.110446879235299e-139
UNC13B	1.383331200221146	2525.7548426839803	-1.3815652430108798	0.054611584568750995	25.2980252069342	3.358129993546709e-141	4.643869189926489e-139
PDE4B	1.3832461314326354	2488.1524914300303	-1.7112583452265802	0.0676466217660423	25.297025934938898	3.444238229988189e-141	4.735729159427189e-139
IGF2BP2	1.3758176679407916	2077.7478470452497	1.45955452575838	0.0578517952458435	-25.2292002271657	1.9160822656715494e-140	2.619589288442539e-138
KIF3B	1.3729175109992964	1075.39247926705	-2.17891380214285	0.0864561377745756	25.2025345826125	3.757426067236609e-140	5.1079766118557783e-138
MCAM	1.3658577550574926	28583.341982590096	-0.936034463115658	0.0372360893405965	25.1378294469594	1.9200510424609596e-139	2.5955206844772795e-137
OAS2	1.3634092902142145	5562.86672410948	-1.08880369804083	0.0433523722761612	25.1152045637777	3.393065841577309e-139	4.561114540783979e-137
TSPYL1	1.3550247924877965	932.149492861052	-2.18222244555552	0.0871560141705598	25.038116604151	2.3521311522669796e-138	3.1442766547693294e-136
WASF2	1.3537528093640028	1178.17195768226	-1.9515819649831203	0.0779815107018117	25.026213873255703	3.170048567704719e-138	4.21423804619397e-136
MYH10	1.3535753362368508	4872.830831597321	1.5805602178504699	0.0631608553819152	-25.0243637185293	3.3205195522422195e-138	4.390018761870999e-136
DHX58	1.3347349696700272	925.046532858951	-2.05747920869714	0.0827944079386729	24.850461038638603	2.5563622771138994e-136	3.361267164585489e-134
LIMCH1	1.3336148984806369	1177.54179700968	2.51031054680079	0.101059696049709	-24.839878259341102	3.3265668279863695e-136	4.350209294293919e-134
ERV3-1	1.3328839914234556	3047.09002354829	1.72755916518608	0.0695673686385712	-24.832895062646397	3.9576817076265795e-136	5.147553364805988e-134
JAK3	1.3287149818052806	554.45341946848	2.88897527027619	0.116519889100325	-24.793838138558	1.0447483731604797e-135	1.3443173986624397e-133
USP18	1.3287149818052806	1969.84715505052	-1.7769317632009398	0.0716678950663182	24.793971715740298	1.0412884026509097e-135	1.3443173986624397e-133
MAPK6	1.3091588883604266	2391.83209637366	1.61496620394129	0.065617999908411	-24.6116340972819	9.482815278645078e-134	1.2136994746529696e-131
TRIM21	1.3076488884582071	834.857780157883	-2.2657606164946698	0.0921149615529562	24.5970966963071	1.3568537294069196e-133	1.7183481282625895e-131
C12orf49	1.3076488884582071	1508.74617032427	-1.8626009882963401	0.0757239535818581	24.5972496177561	1.3517512220850695e-133	1.7183481282625895e-131
HMOX1	1.300827712033105	1312.94279664936	2.0127955038418897	0.0820442388166895	-24.533051105989898	6.560401835971277e-133	8.264732407180147e-131
TNFSF4	1.2981382828247272	2910.6316055580296	-1.58251818306236	0.0645724818980483	24.507625176324396	1.2250144844135296e-132	1.5352238814561596e-130
DIXDC1	1.2981119007171924	2334.45420524915	1.5675339658103897	0.0639622696332513	-24.507166096487303	1.2388978944026295e-132	1.5445782971562697e-130
EPAS1	1.297130379156807	11495.5768941467	-1.24347426482689	0.0507587191461359	24.497747101279	1.5611049176063295e-132	1.9362529137857493e-130
DLGAP5	1.2929054407356608	413.37927516059096	-3.55944073306592	0.145533612231779	24.457860136097604	4.151058131967879e-132	5.122192860072359e-130
HELZ2	1.277979352525397	2298.3335932250798	-1.7914075269929701	0.0736690608624369	24.3169589244268	1.2971467036816195e-130	1.5924461216319897e-128
EML1	1.2761385193192778	814.062801968726	2.45222228889868	0.100917230043984	-24.299342023457104	1.9919689832113795e-130	2.4330333844686394e-128
LRRC8C	1.2685146398706744	1892.00035629227	-1.7578564053466001	0.0725580264160175	24.226904894956498	1.1584291591381798e-129	1.4077839609688298e-127
